order_id,order_date,product,quantity,unit_price,amount,status
3295,2026-01-11,Headset,5,132.41,662.05,paid
3296,2026-02-23,Cable,2,258.74,517.48,paid
3297,2026-06-28,Mouse,1,310.25,310.25,paid
3298,2026-02-13,Dock,3,216.05,648.15,cancelled
3299,2026-04-07,Mouse,2,282.5,565.0,paid
3300,2026-06-09,Webcam,5,105.56,527.8,paid
3301,2026-04-18,Headset,3,315.06,945.18,paid
3302,2026-06-25,Headset,5,288.37,1441.85,cancelled
3303,2026-06-07,Webcam,2,163.42,326.84,paid
3304,2026-01-19,Stand,4,175.69,702.76,cancelled
3305,2026-06-12,Cable,5,271.9,1359.5,refunded
3306,2026-05-06,Cable,4,204.89,819.56,pending
3307,2026-03-21,Cable,4,145.83,583.32,cancelled
3308,2026-04-19,Webcam,1,34.59,34.59,pending
3309,2026-04-19,Monitor,2,189.18,378.36,paid
3310,2026-05-01,Webcam,3,76.59,229.77,paid
3311,2026-04-13,Mouse,2,162.5,325.0,paid
3312,2026-05-05,Cable,5,200.11,1000.55,paid
3313,2026-04-11,Mouse,4,198.95,795.8,refunded
3314,2026-02-22,Keyboard,4,256.41,1025.64,refunded
3315,2026-04-18,Dock,5,92.13,460.65,paid
3316,2026-06-24,Stand,1,157.31,157.31,pending
3317,2026-06-27,Stand,3,49.76,149.28,refunded
3318,2026-05-06,Keyboard,4,57.32,229.28,pending
3319,2026-03-11,Monitor,5,211.61,1058.05,paid
3320,2026-03-20,Stand,5,19.3,96.5,paid
3321,2026-06-10,Dock,5,226.42,1132.1,paid
3322,2026-03-28,Keyboard,5,14.08,70.4,paid
3323,2026-02-15,Keyboard,3,162.77,488.31,paid
3324,2026-05-04,Cable,2,78.86,157.72,refunded
3325,2026-02-01,Cable,5,145.89,729.45,cancelled
3326,2026-01-07,Webcam,1,33.98,33.98,refunded
3327,2026-04-20,Dock,2,186.95,373.9,paid
3328,2026-06-20,Mouse,3,167.96,503.88,pending
3329,2026-03-21,Webcam,3,164.08,492.24,paid
3330,2026-02-05,Headset,2,48.11,96.22,paid
3331,2026-05-05,Webcam,3,170.8,512.4,pending
3332,2026-05-26,Webcam,3,163.2,489.6,paid
3333,2026-01-09,Dock,5,261.16,1305.8,paid
3334,2026-06-18,Webcam,4,171.89,687.56,pending
3335,2026-04-14,Webcam,1,287.61,287.61,paid
3336,2026-01-19,Keyboard,1,289.81,289.81,refunded
3337,2026-03-15,Webcam,3,163.49,490.47,paid
3338,2026-06-09,Dock,1,143.76,143.76,refunded
3339,2026-06-24,Webcam,5,154.51,772.55,paid
3340,2026-03-26,Keyboard,2,263.97,527.94,paid
3341,2026-06-19,Keyboard,2,17.98,35.96,pending
3342,2026-05-05,Dock,4,146.53,586.12,pending
3343,2026-05-09,Mouse,5,212.08,1060.4,pending
3344,2026-05-24,Mouse,5,23.63,118.15,pending
3345,2026-02-06,Headset,3,141.89,425.67,refunded
3346,2026-06-22,Stand,2,294.0,588.0,cancelled
3347,2026-04-19,Dock,2,106.12,212.24,paid
3348,2026-06-04,Mouse,5,25.37,126.85,cancelled
3349,2026-02-25,Monitor,4,19.46,77.84,cancelled
